player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
203999,Nikola Jokic,2024,4.071,1.333,0.008,1.325,1.509,-0.138,1.647,1.229,-0.007,1.236,0.359,0.039,0.311,0.112,0.171,0.171,4.542,4.713,-0.285,0.162,-0.345,0.507,0.162,-0.345,0.507,6.118,1.186,0.203,-0.519,0.061,-0.58,-0.3,0.178,-0.478,1.022,0.001,1.021,0.239,0.262,-0.023,-0.254,1.009,1.009,0.188,1.197,0.079,-0.272,0.261,-0.533,-0.272,0.261,-0.533,-0.315,-0.005,4.275,0.814,0.069,0.745,1.21,0.04,1.17,2.251,-0.006,2.257,0.597,0.301,0.287,-0.142,1.18,1.18,5.91,-0.207,-0.11,-0.084,-0.026,-0.11,-0.084,-0.026,5.803,1.181,4.428,1.276,5.703,12797,6418,6379
1628983,Shai Gilgeous-Alexander,2024,1.12,-0.275,-0.174,-0.101,0.365,-0.188,0.553,1.03,-0.003,1.033,0.903,0.323,0.577,2.176,-0.375,-0.375,4.199,3.824,-0.071,2.223,1.168,1.055,2.223,1.168,1.055,-1.623,-1.146,1.006,0.31,0.034,0.276,0.064,-0.061,0.125,0.632,-0.0,0.632,-0.034,-0.355,0.325,0.682,0.01,0.01,1.654,1.664,0.037,0.642,0.074,0.568,0.642,0.074,0.568,0.902,0.292,2.127,0.036,-0.139,0.175,0.428,-0.25,0.678,1.663,-0.003,1.666,0.869,-0.032,0.901,2.858,-0.366,-0.366,5.488,-0.034,2.865,1.242,1.623,2.865,1.242,1.623,-0.721,-0.855,3.753,1.701,5.454,12176,6101,6075
202331,Paul George,2024,3.518,-0.028,-0.056,0.028,0.507,-0.16,0.667,3.039,-0.002,3.041,0.204,0.003,0.208,0.509,-0.358,-0.358,4.231,3.873,0.019,0.496,-0.028,0.524,0.496,-0.028,0.524,2.144,0.025,0.312,0.622,0.148,0.474,0.163,0.047,0.116,-0.473,-0.003,-0.47,0.2,0.061,0.187,0.651,0.296,0.296,1.163,1.459,0.071,0.627,0.132,0.495,0.627,0.132,0.495,-0.009,0.502,3.828,0.593,0.092,0.501,0.67,-0.113,0.783,2.565,-0.005,2.57,0.403,0.063,0.395,1.16,-0.062,-0.062,5.332,0.09,1.123,0.104,1.019,1.123,0.104,1.019,2.135,0.527,3.892,1.53,5.422,10790,5398,5392
1628973,Jalen Brunson,2024,1.77,0.176,-0.193,0.369,0.421,-0.346,0.767,1.173,-0.006,1.179,0.477,0.434,0.076,1.132,1.468,1.468,3.379,4.847,-0.337,1.158,0.58,0.578,1.158,0.58,0.578,-0.571,-0.314,0.498,-0.233,-0.05,-0.183,0.825,-0.016,0.841,-0.094,-0.001,-0.093,-0.007,0.047,-0.032,0.505,-0.081,-0.081,0.996,0.915,-0.058,0.479,0.159,0.32,0.479,0.159,0.32,0.323,-0.179,2.268,-0.057,-0.243,0.186,1.245,-0.363,1.608,1.08,-0.006,1.086,0.47,0.481,0.045,1.637,1.387,1.387,5.762,-0.396,1.637,0.739,0.898,1.637,0.739,0.898,-0.248,-0.492,4.51,0.857,5.366,12695,6367,6328
202681,Kyrie Irving,2024,1.688,0.03,-0.033,0.063,0.162,-0.21,0.372,1.496,0.006,1.49,-0.041,-0.424,0.357,1.157,1.241,1.241,2.804,4.045,-0.011,1.189,0.807,0.382,1.189,0.807,0.382,1.967,0.264,0.769,0.102,0.107,-0.005,0.141,0.094,0.047,0.526,0.001,0.525,0.08,-0.037,0.12,-0.04,-0.04,-0.04,0.809,0.769,-0.028,-0.06,-0.125,0.065,-0.06,-0.125,0.065,-0.693,0.08,2.455,0.131,0.073,0.058,0.302,-0.117,0.419,2.022,0.007,2.015,0.039,-0.461,0.476,1.117,1.2,1.2,4.814,-0.039,1.129,0.682,0.447,1.129,0.682,0.447,1.274,0.344,4.034,0.741,4.775,11622,5830,5792
203954,Joel Embiid,2024,1.801,0.412,-0.13,0.542,0.547,-0.047,0.594,0.842,-0.014,0.856,1.582,1.019,0.536,-0.004,-0.527,-0.527,3.379,2.852,-0.086,0.006,0.06,-0.054,0.006,0.06,-0.054,2.211,0.216,1.346,0.405,0.104,0.301,0.479,0.189,0.29,0.462,0.003,0.459,0.155,0.168,0.002,0.014,0.157,0.157,1.515,1.672,0.124,-0.038,0.0,-0.038,-0.038,0.0,-0.038,1.796,0.305,3.149,0.817,-0.026,0.843,1.027,0.142,0.885,1.305,-0.011,1.316,1.737,1.187,0.539,0.01,-0.37,-0.37,4.524,0.038,-0.032,0.06,-0.092,-0.032,0.06,-0.092,4.006,0.521,2.766,1.796,4.562,6306,3154,3152
203484,Kentavious Caldwell-Pope,2024,3.766,0.859,0.028,0.831,0.657,-0.064,0.721,2.25,-0.008,2.258,0.287,0.268,0.027,0.047,-0.467,-0.467,4.1,3.633,-0.245,0.094,-0.463,0.557,0.094,-0.463,0.557,3.268,0.389,0.551,-0.021,-0.064,0.043,-0.145,0.063,-0.208,0.717,0.006,0.711,-0.041,0.064,-0.096,0.359,0.137,0.137,0.869,1.006,0.034,0.338,0.394,-0.056,0.338,0.394,-0.056,0.483,-0.145,4.318,0.838,-0.035,0.873,0.512,-0.001,0.513,2.968,-0.001,2.969,0.246,0.332,-0.069,0.406,-0.33,-0.33,4.639,-0.211,0.433,-0.068,0.501,0.433,-0.068,0.501,3.75,0.244,3.388,1.04,4.428,11219,5615,5604
203497,Rudy Gobert,2024,1.714,1.171,0.132,1.039,-0.679,-0.019,-0.66,1.222,-0.007,1.229,-0.223,0.353,-0.588,-1.062,1.557,1.557,0.429,1.986,0.013,-1.167,-1.018,-0.149,-1.167,-1.018,-0.149,1.558,0.912,1.72,1.611,0.238,1.373,0.259,0.395,-0.136,-0.15,-0.003,-0.147,0.42,0.435,-0.049,-0.089,0.355,0.355,2.051,2.406,-0.051,-0.074,-0.121,0.047,-0.074,-0.121,0.047,-0.004,0.852,3.433,2.782,0.37,2.412,-0.42,0.376,-0.796,1.071,-0.01,1.081,0.197,0.787,-0.637,-1.151,1.912,1.912,4.392,-0.037,-1.241,-1.139,-0.102,-1.241,-1.139,-0.102,1.554,1.764,1.999,2.355,4.355,12166,6065,6101
1641764,Brandin Podziemski,2024,1.222,0.111,0.118,-0.007,0.345,-0.012,0.357,0.766,-0.001,0.767,-0.682,-0.224,-0.479,1.055,1.7,1.7,1.595,3.295,-0.022,1.029,0.425,0.604,1.029,0.425,0.604,2.011,0.466,1.43,-0.044,0.106,-0.15,0.646,0.065,0.581,0.828,-0.005,0.833,-0.055,0.163,-0.194,0.084,-0.459,-0.459,1.459,1.0,-0.063,0.105,0.19,-0.085,0.105,0.19,-0.085,0.352,0.282,2.652,0.066,0.224,-0.158,0.993,0.054,0.939,1.593,-0.007,1.6,-0.737,-0.061,-0.672,1.14,1.24,1.24,4.295,-0.085,1.134,0.615,0.519,1.134,0.615,0.519,2.363,0.748,3.273,0.937,4.21,7939,3958,3981
1628384,OG Anunoby,2024,1.855,0.536,0.108,0.428,0.906,0.077,0.829,0.413,0.006,0.407,-0.303,-0.342,0.029,-0.408,-0.117,-0.117,1.144,1.027,-0.032,-0.362,-0.299,-0.063,-0.362,-0.299,-0.063,1.303,0.566,2.425,0.118,-0.078,0.196,0.779,0.048,0.731,1.528,0.006,1.522,0.119,0.134,-0.002,0.364,0.276,0.276,2.908,3.184,-0.053,0.336,0.201,0.135,0.336,0.201,0.135,0.821,-0.23,4.281,0.655,0.031,0.624,1.684,0.125,1.559,1.942,0.012,1.93,-0.184,-0.208,0.027,-0.044,0.159,0.159,4.211,-0.085,-0.026,-0.098,0.072,-0.026,-0.098,0.072,2.124,0.336,0.995,3.131,4.126,8056,4028,4028
