player_id,player_name,Latest_Year,oDECOMP_EFG,oDECOMP_EFG_PARENT,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_EFG_DISPLAY_GAP,oDECOMP_RIM,oDECOMP_RIM_FREQ,oDECOMP_RIM_FG,oDECOMP_MID_FG,oDECOMP_THREE,oDECOMP_THREE_FREQ,oDECOMP_THREE_FG,oDECOMP_FT,oDECOMP_FT_FREQ,oDECOMP_FT_SEVERITY,oDECOMP_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oDECOMP_TOV_LOSS_VALUE,oDECOMP_TOV_VALUE_bp,oDECOMP_TOV_VALUE_sc,oDECOMP_TOV_VALUE_split,oDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dDECOMP_EFG,dDECOMP_EFG_PARENT,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_EFG_DISPLAY_GAP,dDECOMP_RIM,dDECOMP_RIM_FREQ,dDECOMP_RIM_FG,dDECOMP_MID_FG,dDECOMP_THREE,dDECOMP_THREE_FREQ,dDECOMP_THREE_FG,dDECOMP_FT,dDECOMP_FT_FREQ,dDECOMP_FT_SEVERITY,dDECOMP_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dDECOMP_TOV_LOSS_VALUE,dDECOMP_TOV_VALUE_bp,dDECOMP_TOV_VALUE_sc,dDECOMP_TOV_VALUE_split,dDECOMP_BADPASS_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nDECOMP_EFG,nDECOMP_EFG_PARENT,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_EFG_DISPLAY_GAP,nDECOMP_RIM,nDECOMP_RIM_FREQ,nDECOMP_RIM_FG,nDECOMP_MID_FG,nDECOMP_THREE,nDECOMP_THREE_FREQ,nDECOMP_THREE_FG,nDECOMP_FT,nDECOMP_FT_FREQ,nDECOMP_FT_SEVERITY,nDECOMP_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nDECOMP_TOV_LOSS_VALUE,nDECOMP_TOV_VALUE_bp,nDECOMP_TOV_VALUE_sc,nDECOMP_TOV_VALUE_split,nDECOMP_BADPASS_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
201939,Stephen Curry,2018,4.619,4.618,4.626,-0.008,-0.007,1.015,0.538,0.477,0.313,3.298,0.715,2.583,1.137,0.341,0.797,0.399,0.132,0.132,6.155,6.287,0.0,0.399,-0.205,0.604,0.399,-0.205,0.604,2.879,0.797,-0.501,-0.507,-0.507,0.0,0.006,-0.353,-0.033,-0.32,-0.073,-0.081,0.05,-0.131,-0.04,0.004,-0.044,0.524,0.067,0.067,-0.017,0.05,0.0,0.524,0.315,0.209,0.524,0.315,0.209,1.016,0.133,4.118,4.111,4.119,-0.008,-0.001,0.662,0.505,0.157,0.24,3.217,0.765,2.452,1.097,0.345,0.753,0.923,0.199,0.199,6.337,0.0,0.923,0.11,0.813,0.923,0.11,0.813,3.895,0.93,6.287,0.05,6.337,9198,4622,4576
101108,Chris Paul,2018,3.696,3.691,3.68,0.011,0.016,-1.353,-1.012,-0.341,1.76,3.273,0.755,2.518,-0.113,-0.267,0.156,1.829,-0.803,-0.803,5.412,4.609,0.0,1.829,0.933,0.896,1.829,0.933,0.896,2.015,-0.556,0.436,0.425,0.426,-0.001,0.01,0.51,0.099,0.411,0.333,-0.417,-0.045,-0.372,-0.047,0.112,-0.16,0.442,-0.01,-0.01,0.831,0.821,0.0,0.442,0.216,0.226,0.442,0.216,0.226,0.279,0.439,4.132,4.116,4.106,0.01,0.026,-0.843,-0.913,0.07,2.093,2.856,0.71,2.146,-0.16,-0.155,-0.004,2.271,-0.813,-0.813,5.43,0.0,2.271,1.149,1.122,2.271,1.149,1.122,2.294,-0.117,4.609,0.821,5.43,9417,4720,4697
203496,Robert Covington,2018,0.899,0.893,0.893,0.0,0.006,0.216,0.08,0.136,-0.118,0.795,0.118,0.677,-0.319,-0.281,-0.038,-0.072,0.866,0.866,0.508,1.374,0.0,-0.072,-0.218,0.146,-0.072,-0.218,0.146,3.252,0.298,1.917,1.918,1.916,0.002,0.001,0.597,0.211,0.386,0.581,0.738,0.004,0.734,0.062,-0.055,0.118,0.679,0.923,0.923,2.658,3.581,-0.0,0.679,0.533,0.146,0.679,0.533,0.146,2.143,0.476,2.816,2.811,2.809,0.002,0.007,0.813,0.291,0.522,0.463,1.533,0.122,1.411,-0.257,-0.336,0.08,0.607,1.789,1.789,4.955,0.001,0.607,0.315,0.292,0.607,0.315,0.292,5.395,0.774,1.374,3.581,4.956,11697,5845,5852
201569,Eric Gordon,2018,2.419,2.418,2.42,-0.002,-0.001,0.608,0.228,0.38,0.297,1.515,0.862,0.653,0.681,0.451,0.23,0.853,0.076,0.076,3.953,4.029,0.0,0.853,0.581,0.272,0.853,0.581,0.272,0.605,-0.393,1.814,1.81,1.808,0.002,0.006,0.174,-0.151,0.325,0.501,1.133,-0.018,1.151,0.174,0.143,0.031,-0.83,-0.419,-0.419,1.158,0.739,0.0,-0.83,-0.563,-0.267,-0.83,-0.563,-0.267,1.767,0.052,4.233,4.228,4.228,0.0,0.005,0.782,0.077,0.705,0.798,2.648,0.844,1.804,0.855,0.594,0.261,0.023,-0.343,-0.343,4.768,0.0,0.023,0.018,0.005,0.023,0.018,0.005,2.372,-0.341,4.029,0.739,4.768,10948,5479,5469
202710,Jimmy Butler III,2018,0.733,0.729,0.724,0.005,0.009,0.606,-0.35,0.956,0.289,-0.171,0.017,-0.188,0.894,0.469,0.424,0.015,0.625,0.625,1.642,2.267,0.0,0.015,0.012,0.003,0.015,0.012,0.003,1.421,0.085,0.928,0.933,0.93,0.003,-0.002,-0.093,0.145,-0.238,0.437,0.586,-0.06,0.646,0.2,0.321,-0.122,0.799,0.33,0.33,1.927,2.257,0.0,0.799,0.386,0.413,0.799,0.386,0.413,1.392,0.261,1.661,1.662,1.654,0.008,0.007,0.513,-0.205,0.718,0.726,0.415,-0.043,0.458,1.094,0.79,0.302,0.814,0.955,0.955,4.524,0.0,0.814,0.398,0.416,0.814,0.398,0.416,2.813,0.346,2.267,2.257,4.524,9180,4587,4593
202689,Kemba Walker,2018,2.043,2.05,2.047,0.003,-0.004,0.082,0.2,-0.118,0.899,1.066,-0.019,1.085,0.594,0.665,-0.07,0.951,0.091,0.091,3.588,3.679,-0.0,0.951,0.428,0.523,0.951,0.428,0.523,0.002,-0.165,0.037,0.039,0.044,-0.005,-0.007,0.13,0.266,-0.136,0.374,-0.46,-0.112,-0.348,0.336,0.379,-0.043,0.007,0.269,0.269,0.38,0.649,0.0,0.007,0.054,-0.047,0.007,0.054,-0.047,-0.871,0.222,2.08,2.09,2.091,-0.001,-0.011,0.212,0.466,-0.254,1.273,0.606,-0.131,0.737,0.93,1.044,-0.113,0.958,0.36,0.36,4.328,0.0,0.958,0.482,0.476,0.958,0.482,0.476,-0.869,0.057,3.679,0.649,4.328,11135,5563,5572
201935,James Harden,2018,2.409,2.408,2.413,-0.005,-0.004,2.042,0.782,1.26,0.162,0.209,0.468,-0.259,1.738,1.215,0.523,0.072,-0.172,-0.172,4.219,4.047,-0.0,0.072,-0.351,0.423,0.072,-0.351,0.423,-1.143,0.73,-1.024,-1.029,-1.029,0.0,0.005,-0.939,-0.146,-0.793,0.166,-0.256,-0.05,-0.206,0.09,0.144,-0.054,0.553,0.535,0.535,-0.381,0.154,-0.0,0.553,0.37,0.183,0.553,0.37,0.183,0.452,-0.129,1.385,1.379,1.384,-0.005,0.001,1.103,0.636,0.467,0.328,-0.047,0.418,-0.465,1.828,1.359,0.469,0.625,0.363,0.363,4.201,-0.0,0.625,0.019,0.606,0.625,0.019,0.606,-0.691,0.601,4.047,0.154,4.201,12670,6335,6335
200782,P.J. Tucker,2018,1.381,1.387,1.384,0.003,-0.003,0.467,-0.094,0.561,-0.03,0.947,0.621,0.326,0.768,0.372,0.396,0.079,0.715,0.715,2.228,2.943,0.0,0.079,0.283,-0.204,0.079,0.283,-0.204,-1.901,-0.647,0.186,0.192,0.191,0.001,-0.005,0.119,0.132,-0.013,-0.357,0.429,-0.212,0.641,0.016,0.087,-0.071,0.834,0.213,0.213,1.036,1.249,0.0,0.834,0.474,0.36,0.834,0.474,0.36,1.287,0.369,1.567,1.579,1.575,0.004,-0.008,0.586,0.038,0.548,-0.387,1.376,0.409,0.967,0.784,0.459,0.325,0.913,0.928,0.928,4.192,0.0,0.913,0.757,0.156,0.913,0.757,0.156,-0.614,-0.278,2.943,1.249,4.192,11349,5682,5667
1626157,Karl-Anthony Towns,2018,1.996,1.995,1.987,0.008,0.009,0.981,0.264,0.717,0.175,0.831,-0.113,0.944,0.372,-0.132,0.504,0.401,1.743,1.743,2.769,4.512,-0.0,0.401,0.13,0.271,0.401,0.13,0.271,3.876,1.07,-0.394,-0.387,-0.398,0.011,0.004,-0.029,-0.069,0.04,0.269,-0.638,0.113,-0.751,0.222,0.39,-0.168,-0.097,-0.101,-0.101,-0.269,-0.37,0.0,-0.097,-0.176,0.079,-0.097,-0.176,0.079,-1.281,-0.251,1.602,1.607,1.589,0.018,0.013,0.952,0.195,0.757,0.444,0.193,-0.0,0.193,0.594,0.258,0.336,0.304,1.642,1.642,4.142,0.0,0.304,-0.046,0.35,0.304,-0.046,0.35,2.595,0.819,4.512,-0.37,4.142,12140,6068,6072
203490,Otto Porter Jr.,2018,2.318,2.316,2.313,0.003,0.005,0.715,-0.033,0.748,0.843,0.755,-0.303,1.058,-0.061,-0.149,0.088,0.226,0.187,0.187,2.483,2.67,0.0,0.226,0.148,0.078,0.226,0.148,0.078,3.444,0.366,0.068,0.07,0.067,0.003,0.001,-0.063,-0.127,0.064,-0.164,0.294,0.048,0.246,0.165,0.25,-0.085,0.501,0.636,0.636,0.734,1.37,0.0,0.501,0.687,-0.186,0.501,0.687,-0.186,1.211,0.07,2.386,2.386,2.38,0.006,0.006,0.652,-0.16,0.812,0.679,1.049,-0.255,1.304,0.104,0.101,0.003,0.727,0.823,0.823,4.04,-0.001,0.727,0.835,-0.108,0.727,0.835,-0.108,4.655,0.436,2.67,1.37,4.039,10381,5204,5177
