player_id,player_name,Latest_Year,DECOMP_PRICING,off,def,net_rapm,possessions,off_poss,def_poss,oDECOMP_RIM_FREQ,dDECOMP_RIM_FREQ,nDECOMP_RIM_FREQ,oDECOMP_RIM_FG,dDECOMP_RIM_FG,nDECOMP_RIM_FG,oDECOMP_MID_FG,dDECOMP_MID_FG,nDECOMP_MID_FG,oDECOMP_THREE_FREQ,dDECOMP_THREE_FREQ,nDECOMP_THREE_FREQ,oDECOMP_THREE_FG,dDECOMP_THREE_FG,nDECOMP_THREE_FG,oDECOMP_EFG_PARENT,dDECOMP_EFG_PARENT,nDECOMP_EFG_PARENT,oDECOMP_FT,dDECOMP_FT,nDECOMP_FT,oDECOMP_TOV_VALUE,dDECOMP_TOV_VALUE,nDECOMP_TOV_VALUE,oDECOMP_SC,dDECOMP_SC,nDECOMP_SC,oDECOMP_BADPASS_TOV_VALUE,dDECOMP_BADPASS_TOV_VALUE,nDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_RIM,oDECOMP_THREE,oDECOMP_TOV_VALUE_split,oDECOMP_TOV_SPLIT_GAP,oFC,oDISPLAY_SUM,oRESID,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_RIM,dDECOMP_THREE,dDECOMP_TOV_VALUE_split,dDECOMP_TOV_SPLIT_GAP,dFC,dDISPLAY_SUM,dRESID,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_RIM,nDECOMP_THREE,nDECOMP_TOV_VALUE_split,nDECOMP_TOV_SPLIT_GAP,nFC,nDISPLAY_SUM,RESID
2544,James,2009,net_continuation_kappa,7.025,1.532,8.557,68979,34586,34393,0.241,-0.065,0.176,1.463,0.275,1.738,-0.078,0.015,-0.063,0.656,0.018,0.674,0.509,0.772,1.281,2.795,1.029,3.824,0.859,-0.581,0.278,1.864,0.546,2.41,1.509,0.569,2.078,0.44,0.314,0.754,1.425,0.233,1.658,2.791,0.004,1.704,1.165,1.865,-0.001,5.514,7.023,0.002,1.015,0.014,0.21,0.79,0.547,-0.001,0.98,1.549,-0.017,3.806,0.018,1.914,1.955,2.412,-0.002,6.494,8.572,-0.015
708,Garnett,2009,net_continuation_kappa,3.264,4.54,7.803,52505,26317,26188,0.003,0.295,0.298,0.892,1.089,1.981,1.988,0.918,2.906,-0.898,-0.087,-0.985,0.238,0.161,0.399,2.215,2.383,4.598,0.746,0.297,1.043,0.109,0.375,0.484,0.189,1.504,1.693,-0.393,0.459,0.066,0.506,-0.085,0.421,2.223,-0.008,0.895,-0.66,0.113,-0.004,3.078,3.267,-0.003,2.376,0.007,1.384,0.074,0.374,0.001,3.048,4.552,-0.012,4.599,-0.001,2.279,-0.586,0.487,-0.003,6.126,7.819,-0.016
959,Nash,2009,net_continuation_kappa,8.854,-1.059,7.795,60794,30438,30356,0.515,0.078,0.593,1.825,-0.11,1.715,1.836,-0.131,1.705,0.916,-0.037,0.879,2.515,-0.658,1.857,7.617,-0.839,6.778,0.532,0.484,1.016,1.336,0.142,1.478,-0.648,-0.828,-1.476,-0.216,0.324,0.108,1.551,-0.175,1.376,7.607,0.01,2.34,3.431,1.335,0.001,9.475,8.827,0.027,-0.858,0.019,-0.032,-0.695,0.149,-0.007,-0.232,-1.06,0.001,6.749,0.029,2.308,2.736,1.484,-0.006,9.243,7.767,0.028
1938,Ginobili,2009,net_continuation_kappa,4.415,2.334,6.748,44739,22454,22285,0.567,-0.178,0.389,0.288,0.389,0.677,0.085,-0.021,0.064,0.908,-0.035,0.873,-0.251,0.299,0.048,1.596,0.465,2.061,1.65,0.142,1.792,0.538,1.391,1.929,0.629,0.334,0.963,0.069,0.377,0.446,0.469,1.017,1.486,1.597,-0.001,0.855,0.657,0.538,0.0,3.785,4.414,0.001,0.454,0.011,0.211,0.264,1.394,-0.003,1.987,2.321,0.013,2.051,0.01,1.066,0.921,1.932,-0.003,5.772,6.735,0.013
977,Bryant,2009,net_continuation_kappa,7.399,-0.678,6.721,67898,34003,33895,-0.264,-0.234,-0.498,0.43,-0.239,0.191,1.184,0.048,1.232,0.654,0.028,0.682,1.141,0.081,1.222,3.164,-0.31,2.854,1.408,-0.337,1.071,2.156,-0.317,1.839,0.657,0.301,0.958,0.617,0.034,0.651,1.546,-0.36,1.186,3.145,0.019,0.166,1.795,2.163,-0.007,6.709,7.366,0.033,-0.316,0.006,-0.473,0.109,-0.326,0.009,-0.97,-0.669,-0.009,2.829,0.025,-0.307,1.904,1.837,0.002,5.739,6.697,0.024
1495,Duncan,2009,net_continuation_kappa,3.254,3.462,6.715,57774,29061,28713,-0.037,0.226,0.189,0.607,1.082,1.689,1.519,-0.154,1.365,-0.701,0.33,-0.371,0.307,-0.016,0.291,1.664,1.471,3.135,0.055,1.107,1.162,0.216,-0.837,-0.621,1.311,1.722,3.033,-0.161,-0.497,-0.658,0.378,-0.335,0.043,1.695,-0.031,0.57,-0.394,0.217,-0.001,1.966,3.277,-0.023,1.468,0.003,1.308,0.314,-0.832,-0.005,1.738,3.46,0.002,3.163,-0.028,1.878,-0.08,-0.615,-0.006,3.704,6.737,-0.022
2548,Wade,2009,net_continuation_kappa,6.097,0.453,6.55,56102,28082,28020,0.797,-0.098,0.699,1.443,0.306,1.749,0.461,-0.142,0.319,-0.403,0.221,-0.182,0.619,0.156,0.775,2.933,0.438,3.371,1.392,-0.512,0.88,0.844,0.65,1.494,0.918,-0.123,0.795,0.216,0.346,0.562,0.624,0.308,0.932,2.917,0.016,2.24,0.216,0.84,0.004,5.153,6.071,0.026,0.443,-0.005,0.208,0.377,0.654,-0.004,0.581,0.458,-0.005,3.36,0.011,2.448,0.593,1.494,0.0,5.734,6.529,0.021
1717,Nowitzki,2009,net_continuation_kappa,5.501,0.616,6.117,64302,32198,32104,-0.107,0.046,-0.061,0.386,-0.064,0.322,1.285,0.026,1.311,-0.244,-0.052,-0.296,0.614,-0.176,0.438,1.943,-0.226,1.717,1.992,0.425,2.417,1.865,-0.373,1.492,-0.3,0.78,0.48,0.476,-0.027,0.449,1.389,-0.354,1.035,1.934,0.009,0.279,0.37,1.865,0.0,5.791,5.491,0.01,-0.22,-0.006,-0.018,-0.228,-0.381,0.008,-0.168,0.612,0.004,1.714,0.003,0.261,0.142,1.484,0.008,5.623,6.103,0.014
1897,World Peace,2009,net_continuation_kappa,2.147,3.66,5.806,39824,19920,19904,0.117,0.459,0.576,-0.12,0.257,0.137,-0.146,0.584,0.438,0.5,-0.063,0.437,1.053,0.182,1.235,1.398,1.431,2.829,0.087,0.51,0.597,0.725,0.799,1.524,-0.071,0.929,0.858,0.777,0.436,1.213,-0.061,0.366,0.305,1.404,-0.006,-0.003,1.553,0.716,0.009,2.216,2.145,0.002,1.419,0.012,0.716,0.119,0.802,-0.003,2.728,3.657,0.003,2.823,0.006,0.713,1.672,1.518,0.006,4.944,5.802,0.004
101108,Paul,2009,net_continuation_kappa,5.632,0.162,5.794,44283,22184,22099,0.159,0.079,0.238,0.186,-0.237,-0.051,0.724,0.09,0.814,0.274,-0.343,-0.069,0.529,-0.353,0.176,1.889,-0.761,1.128,1.106,-0.004,1.102,2.492,0.672,3.164,0.143,0.272,0.415,1.289,0.593,1.882,1.202,0.082,1.284,1.872,0.017,0.345,0.803,2.491,0.001,5.47,5.613,0.019,-0.764,0.003,-0.158,-0.696,0.675,-0.003,-0.096,0.176,-0.014,1.108,0.02,0.187,0.107,3.166,-0.002,5.374,5.789,0.005
